sex,Birth,event10,years,Nbridewealth,Ndowry
0,1991,0,8,0,6
1,1954,0,10,0,26
0,1959,0,5,0,0
1,1979,0,3,0,0
0,1985,1,10,0,0
1,1978,0,10,19,36
0,1974,0,10,27,7
1,1970,1,7,0,12
0,1976,0,2,0,20
1,1948,0,2,0,20
0,1990,0,10,0,2
1,1985,0,10,0,21
0,1984,0,10,15,0
1,1991,0,10,0,0
0,1992,0,10,0,28
1,1965,0,10,0,21
0,1991,0,2,0,12
1,1991,0,8,0,18
0,1995,0,3,0,0
1,1991,0,10,6,10
0,1993,0,10,0,0
1,1989,1,10,0,0
1,1991,0,10,13,13
0,1969,0,1,0,11
1,1990,0,1,0,15
0,1986,0,10,0,11
1,1966,0,10,0,18
0,1974,0,6,0,32
1,1975,1,3,0,15
0,1972,0,10,0,0
1,1971,0,3,0,13
0,1978,0,3,0,30
1,1982,1,10,0,12
0,1982,1,10,0,0
1,1984,1,2,0,0
0,1969,0,10,28,22
1,1971,0,4,68,45
0,1980,0,10,0,11
1,1982,0,10,0,11
0,1991,0,10,78,65
1,1992,0,10,45,69
0,1984,1,10,0,0
1,1962,0,10,9,35
1,1968,1,10,0,0
0,1963,0,10,10,0
1,1973,0,10,0,0
0,1990,0,1,0,7
1,1989,0,10,0,0
0,1941,0,10,13,0
1,1943,0,10,13,9
0,1991,0,10,0,0
1,1976,0,10,0,0
1,1978,0,10,0,0
0,1982,1,10,0,16
1,1993,0,10,0,39
0,1947,1,10,0,0
1,1977,1,10,0,0
0,1971,0,10,0,0
1,1980,0,10,0,12
1,1985,0,6,0,20
0,1965,1,6,19,0
1,1970,0,10,0,0
0,1982,1,10,0,0
1,1985,0,10,9,0
0,1962,0,10,63,65
1,1940,0,10,21,30
0,1964,0,6,0,17
1,1985,0,10,0,0
1,1983,0,2,0,18
0,1957,0,10,37,18
1,1966,0,10,0,0
0,1992,0,1,0,0
1,1971,0,9,0,0
1,1978,0,2,0,0
0,1967,0,10,41,7
1,1971,0,10,0,0
0,1974,0,10,45,23
1,1970,0,10,0,0
0,1982,0,10,0,0
1,1979,0,10,0,0
0,1980,0,10,0,10
1,1977,0,10,0,27
0,1969,0,6,22,0
1,1973,0,1,21,0
0,1987,0,3,81,49
1,1991,0,10,84,20
0,1965,0,10,58,63
1,1969,0,10,42,55
0,1967,0,10,136,28
1,1967,0,10,20,0
0,1961,0,10,0,23
1,1990,0,10,0,12
0,1987,0,5,0,0
1,1986,0,5,0,9
0,1972,0,5,16,9
1,1974,1,10,50,0
0,1995,0,10,0,0
1,1995,0,10,0,0
0,1974,1,10,0,0
0,1970,0,10,0,0
1,1979,1,10,0,0
0,1939,1,8,23,15
1,1946,0,8,16,15
0,1984,0,6,0,0
1,1962,0,5,0,0
1,1958,0,5,0,0
0,1975,0,4,0,0
1,1979,0,1,0,0
0,1972,0,2,11,6
1,1972,0,9,6,11
0,1977,0,5,0,10
1,1982,0,1,0,11
0,1947,1,10,31,7
1,1964,1,2,0,15
0,1970,0,4,0,0
0,1988,1,10,0,4
1,1987,0,6,0,2
0,1966,0,6,43,20
1,1970,0,10,0,36
0,1962,0,10,38,45
1,1963,0,10,28,27
0,1994,0,10,0,0
1,1994,0,10,0,0
0,1991,0,10,0,0
1,1946,0,10,0,0
1,1963,0,10,0,20
0,1980,0,3,0,0
1,1986,0,10,0,0
0,1973,0,10,22,20
1,1974,0,4,24,20
0,1990,0,4,15,20
1,1989,0,10,0,26
0,1955,0,10,0,21
1,1988,0,10,0,12
0,1991,0,3,0,0
1,1992,1,2,0,16
0,1983,0,2,0,0
1,1960,0,5,0,0
1,1995,1,10,18,16
1,1982,0,10,17,19
0,1984,1,4,0,0
0,1985,1,10,0,0
1,1993,0,10,0,62
0,1994,0,10,0,0
1,1985,0,10,41,46
1,1981,1,9,0,0
0,1960,0,10,46,27
1,1966,1,6,0,0
0,1991,1,6,0,0
1,1991,0,10,0,0
0,1944,0,2,35,42
1,1967,0,10,0,0
0,1939,0,1,0,0
1,1947,0,10,0,12
0,1957,0,10,0,0
1,1950,0,10,0,0
0,1970,0,10,0,0
1,1971,0,6,0,0
0,1994,0,6,0,0
1,1952,0,8,0,15
1,1957,0,2,0,0
0,1955,0,10,0,0
1,1956,0,10,0,0
0,1947,1,5,0,0
1,1950,1,10,0,0
0,1979,0,7,0,0
1,1975,0,7,0,0
0,1993,0,10,0,0
1,1992,1,10,0,0
0,1983,0,10,0,0
1,1973,0,10,35,32
0,1980,0,2,0,0
1,1990,0,4,0,0
0,1979,0,10,0,0
1,1970,1,10,0,15
0,1983,0,1,0,0
1,1954,0,10,15,16
0,1987,0,10,30,13
0,1983,0,10,0,0
0,1942,0,10,0,20
0,1973,0,6,25,15
1,1973,0,10,0,0
0,1973,0,7,129,30
0,1987,1,3,0,0
1,1988,0,1,0,10
0,1966,0,2,59,70
1,1992,0,2,56,70
0,1942,0,10,0,0
1,1969,0,10,0,0
0,1943,0,10,0,8
1,1956,1,10,15,0
0,1944,0,10,0,0
1,1945,0,6,0,0
0,1989,0,10,0,0
1,1992,0,10,0,0
0,1991,0,6,2,64
1,1983,0,6,0,62
0,1980,0,3,0,13
1,1979,1,3,2,12
0,1955,0,4,45,25
1,1962,0,2,45,20
0,1990,1,2,0,0
1,1987,0,10,0,0
0,1977,0,7,43,42
1,1984,0,7,8,37
0,1961,0,6,90,40
1,1963,0,10,45,27
0,1984,0,10,25,23
1,1983,0,10,0,0
0,1982,1,10,0,0
1,1972,1,1,0,0
0,1967,0,1,0,13
0,1964,0,10,0,0
1,1967,1,9,0,0
1,1967,0,10,15,16
0,1946,0,10,0,7
1,1944,0,10,0,7
0,1981,0,1,0,0
1,1944,0,10,0,0
1,1968,1,8,0,20
0,1970,0,10,0,0
1,1973,1,4,0,5
1,1990,1,10,0,0
0,1990,1,10,0,0
0,1962,0,10,0,0
1,1963,1,10,0,0
0,1968,0,10,0,0
1,1969,0,10,0,0
0,1943,0,10,0,11
1,1973,0,3,0,20
1,1963,0,10,0,0
1,1966,1,2,0,30
0,1987,0,5,0,15
1,1985,0,2,0,30
0,1974,1,5,0,15
1,1983,0,5,0,15
0,1984,0,10,35,55
1,1989,1,10,25,65
0,1958,0,2,16,70
1,1977,1,7,21,70
0,1992,1,10,0,0
1,1990,0,10,0,20
0,1976,0,10,0,18
1,1971,0,10,0,20
1,1982,1,10,43,36
1,1943,0,4,10,35
1,1978,0,10,0,18
1,1976,0,10,0,0
0,1986,0,10,23,91
1,1983,0,10,20,75
0,1951,1,10,0,0
1,1954,1,10,0,0
0,1977,0,4,0,0
