ZONE_NUMBER,ZONE_NAME,METER_ID,METER_STATION,METER_TYPE,METER_MODEL,OPERATION_HOURS,OPERATION_DAYS,HOURLY_RATE,DAILY_RATE,MAXIMUM_HOURS,MONTHLY_UNRESERVED_RATE,MONTHLY_RESERVED_RATE,PAY_BY_PHONE,OWNER,ON_OFF_STREET,ZONE_TYPE,NUMBER_SPACES,ADDRESS,PAYMENT_METHODS,COMMENTS,Latitude,Longitude
4,Gateway South,#015,14517,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4303,Surrey,On,On-Street Parking,62,13455 107A Ave,Cash/Credit Card/PayByPhone,,49.197654,-122.848937
4,Gateway South,#016,14518,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4303,Surrey,On,On-Street Parking,62,13425 107A Ave,Cash/Credit Card/PayByPhone,,49.197468,-122.849999
4,Gateway South,#017,14519,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4303,Surrey,On,On-Street Parking,62,13458 107A Ave,Cash/Credit Card/PayByPhone,,49.197322,-122.849543
4,Gateway South,#018,14520,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,1,$4.00,All Day,,,4303,Surrey,On,On-Street Parking,62,13458 107A Ave,Cash/Credit Card/PayByPhone,,49.197012,-122.84893
3,Hospital South,#012,14514,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 11:00 PM,7 Days/Week,1.75,,2,,,4296,Surrey,On,On-Street Parking,42,13665 94A Ave,Cash/Credit Card/PayByPhone,,49.174768,-122.843432
3,Hospital South,#013,14515,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 11:00 PM,7 Days/Week,1.75,,2,,,4296,Surrey,On,On-Street Parking,42,13665 94A Ave,Cash/Credit Card/PayByPhone,,49.174773,-122.841896
3,Hospital South,#011,14513,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 11:00 PM,7 Days/Week,1.75,,2,,,4296,Surrey,On,On-Street Parking,42,13665 138 St,Cash/Credit Card/PayByPhone,,49.175418,-122.840093
25,Holland Park,#224,520014451704,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,6:00 AM to 6:00 PM,Mon - Fri,1,$5.00,All Day,,,5016,Surrey,Off,Surface Paved Off-Street,39,9987 King George Blvd,Credit Card/PayByPhone,,49.183442,-122.846025
12,Scott Road SkyTrain On-Street,#055,500013501582,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,7 Days/Week,1,$2.00,All Day,,,4315,Surrey,On,On-Street Parking,59,12515 110 Ave,Credit Card/PayByPhone,,49.2027,-122.874817
12,Scott Road SkyTrain On-Street,#056,500013501583,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,7 Days/Week,1,$2.00,All Day,,,4315,Surrey,On,On-Street Parking,59,12515 110 Ave,Credit Card/PayByPhone,,49.202698,-122.873296
