Variables ,description of variables,Codes 
CuesInt5, I would  adopt  healthy  eating and  physical  activity  habits if…A healthy weight would help me achieve my  personal/professional goals,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
CuesInt6," I would  adopt  healthy  eating and  physical  activity  habits if…A healthy weight would improve my depression,  anxiety, or stress","5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
CuesExt7, I would  adopt  healthy  eating and  physical  activity  habits if…A physician/nurse/dietitian advised me to be at a  healthy weight,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
CuesExt8,  I would  adopt  healthy  eating and  physical  activity  habits if…A loved one developed a serious health problem  from being overweight or obese,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
CuesExt9, I would  adopt  healthy  eating and  physical  activity  habits if…A family member or close friend advised me to be  at a healthy weight,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
CuesExt10, I would  adopt  healthy  eating and  physical  activity  habits if…I was presented information about the health  risks of being overweight/obese in a college course,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
CuesExt11," I would  adopt  healthy  eating and  physical  activity  habits if…I read on a radio, television or social media  website about the health risks of being  overweight/obese","5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
CuesExt12, I would  adopt  healthy  eating and  physical  activity  habits if…I saw an ad for a product or service that claimed  to help me be at a healthy weight,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietHabit1, I can eat three meals regularly .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietHabit2,I can eat meals in moderate amounts .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietHabit3,I can eat fresh food rather than processed one,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietHabit4,I can refrain to eat sweets like candy and cookie .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietHabit5,I can refrain to eat fatty food like fried food .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietHabit6,I can refrain to drink carbonated drink like cola,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietHabit7,I can eat slowly even when hungry,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietHabit8, I can eat various foods to avoid unbalance in diet .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietHabit9,I can refrain to eat just before going to bed .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietHabit10,I can stop to eat before filling stomach even the food is delicious.,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietHabit11, I can get up early to eat breakfast.,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietHabit12,I can refrain to watch TV or read book when I eat.,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietHabit13,I can refuse to eat when my family members or friends offer  foods.,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietEmot14, I can refrain to eat when I am bored .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietEmot15,I can refrain to eat when I am hungry .,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietEmot16,I can refrain to eat when I am angry.,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietEmot17, I can refrain to eat when I am depressed.,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacydietEmot18, I can refrain to eat when I am anxious and excited.,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
EfficacyExercise1,I can walk for distance as far as 15 minutes walk.,"5-point Likert scale, with 1 representing ""strongly disagree"" and 5 indicating ""strongly agree.”"
