Age,Gender,Education,Religion,Political,Pregnant,Mean_general_ds
46,0,12,0,2,1,3.043478261
24,1,14,0,1,1,2.043478261
22,0,14,1,0,1,3.304347826
29,0,15,0,1,1,2.652173913
26,0,14,1,1,1,1.826086957
18,1,12,1,0,1,2.173913043
33,1,12,0,1,1,2.086956522
31,1,15,0,2,1,1.391304348
51,1,15,1,1,1,1.173913043
21,1,15,0,0,1,0.869565217
21,0,12,0,1,1,1.913043478
30,0,17,0,0,1,2.739130435
45,1,12,0,0,1,2.52173913
60,0,12,0,1,1,2.434782609
41,0,18,0,2,1,2.739130435
22,0,15,2,1,1,3.173913043
26,0,12,0,2,1,2.826086957
35,0,19,0,2,1,1.826086957
51,1,15,0,2,1,1.956521739
24,1,12,2,0,1,1.086956522
28,1,15,1,1,1,2.043478261
32,0,15,0,2,1,2.217391304
23,0,12,0,2,1,2.652173913
23,1,12,2,0,1,2.260869565
29,0,15,0,1,1,2.869565217
29,1,15,0,0,1,2.304347826
46,0,12,1,0,1,2.391304348
20,0,12,2,0,1,2.260869565
24,0,12,0,0,1,2.760869565
28,0,15,0,1,1,2.956521739
31,1,12,1,1,1,1.695652174
30,1,12,2,0,1,2.434782609
67,1,15,0,0,1,2.652173913
43,0,15,0,1,1,3.304347826
35,0,15,1,0,1,3.652173913
49,0,12,0,1,1,3.217391304
24,0,15,0,1,1,2.565217391
62,1,12,0,0,1,3.130434783
28,0,18,2,0,1,2.913043478
25,1,15,0,0,1,2.695652174
24,0,14,2,0,1,2.869565217
28,1,15,2,0,1,1.869565217
28,1,15,0,0,1,2.260869565
32,0,18,0,1,1,0.826086957
63,1,15,0,1,1,1.913043478
45,1,18,0,0,1,2.782608696
35,0,18,0,2,1,2.043478261
31,0,18,0,1,1,3.043478261
21,0,12,0,2,1,2.826086957
30,1,17,0,2,1,1.782608696
50,0,15,0,1,1,1.956521739
28,1,15,1,0,1,3.086956522
29,0,15,0,0,1,2.826086957
25,0,15,1,0,1,2.826086957
24,1,12,0,0,1,2.130434783
26,0,14,0,1,1,3
29,0,15,0,1,1,2.782608696
20,1,12,0,1,1,1.739130435
25,0,13,0,2,1,2.434782609
38,0,15,0,2,1,2.695652174
30,1,19,0,2,1,1.739130435
56,1,12,1,0,1,2.695652174
60,0,16,0,1,1,2.304347826
28,0,18,0,2,1,1.260869565
23,0,12,0,0,1,2.869565217
34,1,15,0,1,1,2.304347826
23,0,15,2,0,1,2.304347826
29,0,15,1,2,1,2.956521739
20,1,12,1,0,1,2.652173913
43,0,15,0,0,1,2.304347826
31,1,16,0,0,1,2
25,1,15,1,0,1,1.782608696
35,1,15,0,0,1,2.652173913
53,1,12,0,0,1,2.043478261
42,1,15,0,1,1,2.391304348
26,0,14,0,1,1,3.043478261
34.5,0,16,2,0,1,1.826086957
24,0,14,1,0,1,2.652173913
34,0,19,0,2,1,2.391304348
18,1,12,1,0,1,1.695652174
36,0,19,0,2,1,2.217391304
57,0,18,0,0,1,2.47826087
20,0,12,0,2,1,2.217391304
31,1,13,1,0,1,2.52173913
33,1,17,2,0,1,1.130434783
30,1,15,0,2,1,2.608695652
58,0,17,0,0,1,2.782608696
45,0,15,0,1,1,1.956521739
52,1,16,1,0,1,2.47826087
31,0,12,0,1,1,3.173913043
36,0,17,0,2,1,3
50,1,15,0,1,1,2.260869565
18,0,12,0,1,1,1.956521739
60,0,17,0,2,1,2.304347826
55,0,17,0,2,1,2.565217391
25,0,15,1,0,1,2.347826087
36,1,12,0,1,1,2.391304348
20,0,12,1,0,1,3.173913043
36,1,17,0,1,1,2.47826087
46,1,15,0,1,1,2
40,1,12,1,1,1,2.043478261
22,1,12,0,0,1,2.043478261
22,1,12,0,0,1,1.913043478
27,0,15,2,0,1,2.826086957
47,1,15,0,2,1,1.652173913
20,0,12,1,2,1,2.913043478
21,1,15,0,2,1,2
29,0,16,0,2,1,2.869565217
25,1,14,0,1,1,2.173913043
46,0,16,0,1,1,2.347826087
20,0,12,0,1,1,1.782608696
20,1,14,0,0,1,1.565217391
33,1,15,0,2,1,1.304347826
30,1,15,0,1,1,2.086956522
21,1,12,0,0,1,1.304347826
23,0,15,2,0,1,2.739130435
25,0,13,0,1,1,3.043478261
16.5,0,11,0,0,1,2.391304348
41,1,17,0,2,1,2.52173913
28,0,16,0,0,1,2.173913043
21,0,12,1,1,1,1.913043478
29,1,12,0,0,1,2.913043478
19,0,12,0,0,1,2.565217391
28,1,18,0,1,1,1.695652174
39,0,15,0,1,1,2.217391304
44,0,15,0,0,1,2.47826087
53,1,15,0,0,1,2.739130435
24,0,15,0,0,1,2.652173913
33,0,15.5,0,0,1,2.347826087
23,0,14,2,1,1,3.304347826
23,0,14,1,0,1,2.956521739
27,1,15,0,0,1,2.47826087
25,0,12,0,1,1,3.130434783
24,0,15,0,0,1,2.826086957
24,0,14,0,1,1,3.304347826
58,0,10,0,1,1,1.913043478
34,1,15,2,0,1,2.565217391
31,1,15,0,0,1,3.130434783
25,0,15,0,2,1,2.217391304
29,1,12,2,0,1,2.434782609
22,1,12,1,1,1,2.956521739
22,0,12,1,2,1,2.52173913
24,0,15,1,0,1,2.695652174
23,1,14,1,0,1,2.260869565
36,0,18,0,1,1,2.347826087
22,1,12,0,0,1,2.173913043
29,0,15,0,2,1,2.391304348
27,1,15,0,2,1,2.608695652
42,0,16,1,1,1,2.608695652
34,0,16,0,2,1,2.217391304
28,0,12,0,0,1,3
26,0,15,1,0,1,2.913043478
32,1,15,1,0,1,1.739130435
22,1,14,1,0,1,2.434782609
27,1,17,0,2,1,2.47826087
29,0,19,0,2,1,1.869565217
34,1,21,0,2,1,2.739130435
31,1,12,0,1,1,2.130434783
47,0,15,0,1,1,2.391304348
27,0,16,0,2,1,2.304347826
29,1,15,0,2,1,2.869565217
26,1,15,0,1,1,3.086956522
29,0,15,0,0,1,3.173913043
20,0,12,2,0,1,3.260869565
49,0,15,0,1,1,2.565217391
32,0,15,0,2,1,1.869565217
33,0,15,0,2,1,2.434782609
18,0,12,0,1,1,3.217391304
37,1,16,0,1,1,2.652173913
23,1,12,0,1,1,2.086956522
55,1,18,0,2,1,1.304347826
28,0,19,2,1,1,2.434782609
26,0,15.5,0,1,1,2.260869565
32,0,16,1,1,1,2.782608696
32,1,15,0,1,1,2.217391304
32,1,18,0,2,1,1.913043478
51,1,15,2,0,1,2.086956522
50,1,15,0,1,1,2
58,1,15,0,1,1,2.826086957
35,0,15,0,2,1,3.043478261
20,0,12,0,0,1,1.826086957
21,1,12,0,1,1,3.173913043
28,0,11,0,2,1,3.47826087
