,js_code,ct_code,country,KII,fs_complexityIND_wop,fs_cousin_pref_cont_est2,fs_polygyny_cont,fs_polygyny_cont_std2,fs_localdom_est,fs_lineage,fs_clan,fs_year,ChurchExpWest,ChurchExpEast,bit_consang,bit_c_ln,bit_collectperiod,hfs_idv_std,swz_embed_std,wvs_dp_s_creative_C_std,wvs_obedience,wvs_dp_s_tradition_C_std,wvs_dp_s_behave_C_std_,wvs_OutInTrust_std,wvs_trust_std,wvs_fair_std,wvs_religion_imp,wvs_family_ties_std,BloodEstPopVol,BloodfracFam,fm_lviol_pc,va_nepotism,htg_cP_perc,htg_cNfirstperiod_perc,ms_perc_errors,gel_Tightnessscore,tal_holistic,hru_particularism,gs_percent_high,ag_pd1,ag_pd1000,ag_pd1500,ag_pdiv_aa,ag_yst_aa,ag_abslat,ag_distcr,ag_continent,ag_ln_gdppc2000,ft_CombinedParasiteStress,bar_CATH00,bar_PROT00,bar_OTHCHRIST00,bar_ORTH00,bar_MUSLIM00,bar_HINDU00,bar_BUDDIS00,irri_impact5,du_caloricsui,du_oat_rain,du_rye_rain,nu_rugged,nu_lat,nu_lon,nu_tropical,geodist_coord1,geodist_coord2,gendist_coord1,gendist_coord2,tal_analytic,IIP
120,KOR,410.0,Republic of Korea,-0.36172855,-0.09354897,0.0,0.0,-1.106798,0.6666667,1.0,0.0,1950.0,0.0,0.0,,,,-0.94904387,-0.32506907,-0.7261689,12.91372,-1.8856049,1.5100734,0.00049612403,0.36045435,1.1218854,1.5964739,-0.7901093,43.227222,0.0,0.36171886,-0.41,73.25595,41.25,,10.0,,63.0,,0.9126586,11.408232,18.253172,0.69162583,4500.0,37.0,0.0529981,Asia,9.661560571082232,-0.2915828,0.069,0.168,0.18,0.0,0.002,0.0,0.154,0.0,2509.73,7257.19,12497.4,1.9595700859219785,36.3559643786,127.806485626,0.0,13205.489,2030.149,-0.023539776,0.024349425,,0.020569388
121,KSV,915.0,Kosovo,,,,,,,,,,,,,,,,,,22.173641,,,,-1.0566516,-1.1974689,2.3789809,0.9334846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.002062
122,KWT,414.0,Kuwait,1.0612383,1.0632725,3.0,1.5,0.79545987,0.5,1.0,0.5,1925.0,0.0,0.0,36.349999999999994,3.5931942,1971.5,-0.6306147,,-0.8510448,56.2548,0.22080018,-0.66858065,-0.16361517,0.26493314,1.6360608,2.866242,,,0.30004323,5.5229197,0.78,,,29.3,,,,,,0.88393885,0.88393885,0.7440493,8330.75,29.5,0.0340444,Asia,10.132031275742643,-2.2012844,0.089,0.001,0.034,0.004,0.83,0.03,0.0,1.0,1.64409,0.0,0.0,0.24535526522730458,29.354343273,47.613473444,0.0,4268.447,1532.9607,-0.0043002027,-0.0049250335,,-0.5854532
123,LAO,418.0,Lao People's Democratic Republic,-0.31745565,-0.44399372,0.6688595,1.0055391,0.16839835,0.26396027,0.45275572,0.4283562,1940.1677,0.0,0.0,,,,,,,,,,,,,,,4.315736,0.08320612,1.9694321,,,,,,,,,0.43327555,0.8665511,1.7331022,0.6917266,6270.0,18.0,0.26799798,Asia,7.136759575866402,2.4305387,0.006,0.006,0.008,0.0,0.004,0.001,0.488,0.0,1592.86,0.0,0.0,2.5534604736038187,18.4951374859,103.774102984,54.79420381215124,10500.174,326.0421,-0.02207899,0.01930446,,-0.26394555
124,LBN,422.0,Lebanon,0.69631547,1.0817549,2.0,0.33333334,-0.6840741,0.7222222,1.0,0.6666667,1943.3334,0.0497,0.2208,35.5,3.5695326,2000.0,0.051733594,,-0.09299838,17.416666,-1.1411142,-1.3236257,1.1275446,-1.0776709,0.3959597,2.2542956,,1.0983638,0.95858896,0.8545649,,,,30.9,,,,,11.597341,7.73156,7.73156,0.75081277,10325.0,33.833332,0.044134602,Asia,8.728247675257853,-1.3277686,0.373,0.004,0.029,0.122,0.424,0.0,0.0,0.15711325,1225.34,4895.6,7303.08,4.197076536792228,33.922321382,35.8974439734,0.0,2971.9253,1987.0801,-0.0032797137,-0.006510891,,0.54591334
125,LBR,430.0,Liberia,0.32898062,0.19740266,0.08969733,1.3994697,0.6679702,0.52650154,0.7998232,0.88549685,1873.9496,0.0,0.0,,,,,,,,,,,,,,,2.7033958,0.538042,2.685962,,,,,,,,,1.1814605,2.7567413,4.3320217,0.7335821,3227.6318,6.5,0.087426595,Africa,6.1579043007313095,3.7811193,0.036,0.111,0.257,0.0,0.16,0.0,0.0,0.0028388188,1244.27,0.0,0.0,0.26321788456727957,6.44755653493,-9.30718431314,100.0,-2108.666,-754.04736,0.036818203,-0.0037424956,,-0.57134485
126,LBY,434.0,Libyan Arab Jamahiriya,1.3506988,1.2222174,2.996585,1.9946437,1.4227531,0.50126314,1.0,0.7491404,1939.8784,0.0,0.0,37.6,3.6270041,1983.0,-0.039246175,,-1.9708394,57.813232,0.54252154,0.72603047,-2.2515318,-1.0286015,-0.02966518,2.9620132,,,,2.2353413,,,,,,,,,0.22733214,0.28416517,0.28416517,0.74753225,5609.4,25.0,0.495727,Africa,9.243276964520339,-0.5299012,0.008,0.001,0.004,0.019,0.961,0.001,0.003,0.94419086,55.9436,169.783,230.691,0.4033138708611211,27.0408480476,18.0292410639,0.0,971.7112,1364.1498,0.00306331,-0.007044984,,-0.9616526
127,LCA,662.0,Saint Lucia,-1.2309532,-1.572484,0.0,1.0,0.16137387,0.0,0.0,0.0,1930.0,,,,,,,,,,,,,,,,,8.622509,0.34427294,,,,,,,,,,0.44332135,0.88664275,1.329964,,,13.883333,,Americas,8.830396220521147,-1.0200697,0.743,0.161,0.056,0.0,0.005,0.009,0.0,0.0,1562.26,0.0,0.0,2.1467269358221195,13.8940566501,-60.965295184,100.00000000000001,-7844.261,156.0628,0.031322513,0.00799194,,-0.32719642
128,LIE,438.0,Liechtenstein,-1.0141855,-0.9011569,0.0,0.0,-1.106798,0.5833333,0.0,0.0,1950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.266666,,Europe,,,0.742,0.077,0.109,0.0,0.027,0.0,0.0,0.0,1041.64,4597.74,7248.97,5.328414190328232,47.1451682672,9.55401700348,0.0,59.221363,3152.9292,,,,
129,LKA,144.0,Sri Lanka,0.2591436,0.5441804,1.9818224,0.32451308,-0.6952597,0.6110661,1.0,0.033218283,1929.1302,0.0,0.0,21.5,3.068053,1973.0,-0.17571583,,,,,,,,,,,17.107748,0.0134909805,2.91121,0.13,,,,,,,,4.641807,12.378153,15.472691,0.7133163,5175.0,7.0,0.0389524,Asia,8.305639759146942,-0.40871102,0.067,0.008,0.019,0.0,0.09,0.11,0.68,0.061028443,1452.12,0.0,0.0,0.6500948600406974,7.6296070692,80.700980826,100.0,7911.7383,-798.56067,-0.011227848,0.0029717193,,-0.16992535
